utr,amount,created_at,status
ICICN25062300023,44399.88,2025-06-23,processed
RATNN25062300101,4932.76,2025-06-23,processed
AXISN25062400003,23462.92,2025-06-24,processed
RATNN25062400102,6495.99,2025-06-24,processed
SBIN25062400041,8648.46,2025-06-24,processed
HDFCN25062600013,35468.86,2025-06-26,processed
RATNN25062600103,11484.42,2025-06-26,processed
SBIN25062600042,5512.51,2025-06-26,processed
RATNN25062700104,4220.97,2025-06-27,processed
SBIN25062700043,1493.88,2025-06-27,processed
RATNN25062800105,1285.92,2025-06-28,processed
SBIN25062900044,5179.80,2025-06-29,processed
