entity_id,type,channel,order_id,amount,fee,tax,tcs,tds,debit,credit,settlement_id,settlement_utr,created_at,settled_at,on_hold,dispute_id,description
st_000433,payment,myntra,ord_000413,4204.00,1143.49,205.83,42.04,4.20,0.00,2808.44,MYN-PO-20250714-0026,ICICN25071400026,2025-07-02,2025-07-14,false,,PPMP SALE ord_000413
st_000436,payment,myntra,ord_000416,2263.00,633.64,114.06,22.63,2.26,0.00,1490.41,MYN-PO-20250714-0026,ICICN25071400026,2025-07-01,2025-07-14,false,,SJIT SALE ord_000416
st_000442,payment,myntra,ord_000422,5696.00,1594.88,287.08,56.96,5.70,0.00,3751.38,MYN-PO-20250714-0026,ICICN25071400026,2025-06-27,2025-07-14,false,,SJIT SALE ord_000422
st_000447,payment,myntra,ord_000427,4844.00,1356.32,244.14,48.44,4.84,0.00,3190.26,MYN-PO-20250714-0026,ICICN25071400026,2025-06-26,2025-07-14,false,,SJIT SALE ord_000427
st_000454,payment,myntra,ord_000434,3478.00,695.60,125.21,34.78,3.48,0.00,2618.93,MYN-PO-20250714-0026,ICICN25071400026,2025-06-27,2025-07-14,false,,SJIT SALE ord_000434
st_000456,payment,myntra,ord_000436,1710.00,342.00,61.56,17.10,1.71,0.00,1287.63,MYN-PO-20250714-0026,ICICN25071400026,2025-06-27,2025-07-14,false,,PPMP SALE ord_000436
st_000460,payment,myntra,ord_000440,3298.00,824.50,148.41,32.98,3.30,0.00,2288.81,MYN-PO-20250714-0026,ICICN25071400026,2025-07-04,2025-07-14,false,,PPMP SALE ord_000440
st_000463,payment,myntra,ord_000443,1817.00,363.40,65.41,18.17,1.82,0.00,1368.20,MYN-PO-20250714-0026,ICICN25071400026,2025-07-01,2025-07-14,false,,SJIT SALE ord_000443
st_000471,payment,myntra,ord_000451,1544.00,432.32,77.82,15.44,1.54,0.00,1016.88,MYN-PO-20250714-0026,ICICN25071400026,2025-06-29,2025-07-14,false,,SJIT SALE ord_000451
st_000472,payment,myntra,ord_000452,4939.00,1382.92,248.93,49.39,4.94,0.00,3252.82,MYN-PO-20250714-0026,ICICN25071400026,2025-06-30,2025-07-14,false,,SJIT SALE ord_000452
st_000473,payment,myntra,ord_000453,5022.00,1365.98,245.88,50.22,5.02,0.00,3354.90,MYN-PO-20250714-0026,ICICN25071400026,2025-06-24,2025-07-14,false,,SJIT SALE ord_000453
st_000474,payment,myntra,ord_000454,892.00,242.62,43.67,8.92,0.89,0.00,595.90,MYN-PO-20250714-0026,ICICN25071400026,2025-07-03,2025-07-14,false,,PPMP SALE ord_000454
st_000479,payment,offline,ord_000459,3456.00,69.12,12.44,0.00,0.00,0.00,3374.44,POS-BATCH-20250714-0057,SBIN25071400057,2025-07-13,2025-07-14,false,,POS TID000459 SALE
st_000494,payment,website,ord_000472,1551.00,31.02,5.58,0.00,0.00,0.00,1514.40,RZP-STL-20250714-0117,RATNN25071400117,2025-07-12,2025-07-14,false,,rzp settlement pay_000472
