order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000789,offline,2777.00,0.02,55.54,2711.46,booked,
ord_000793,website,2900.00,0.02,58.00,2831.56,booked,
ord_000798,offline,1675.00,0.02,33.50,1635.47,booked,
ord_000800,offline,5316.00,0.02,106.32,5190.54,booked,
ord_000814,website,5134.00,0.02,102.68,5012.84,booked,
ord_000818,website,4210.00,0.02,84.20,4110.64,booked,
ord_000833,website,927.00,0.02,18.54,905.12,booked,
ord_000839,website,4327.00,0.02,86.54,4224.88,booked,
ord_000845,offline,2534.00,0.02,50.68,2474.20,booked,
ord_000852,website,5295.00,0.02,105.90,5170.04,booked,
ord_000853,offline,852.00,0.02,17.04,831.89,booked,
ord_000856,website,1384.00,0.02,27.68,1351.34,booked,
ord_000857,website,3824.00,0.02,76.48,3733.75,booked,
ord_000860,offline,2558.00,0.02,0.00,0.00,booked,
ord_000863,website,6843.00,0.02,136.86,6681.51,booked,
ord_000873,website,6956.00,0.02,139.12,6791.84,booked,
ord_000874,offline,1036.00,0.02,0.00,0.00,booked,
ord_000876,offline,4361.00,0.02,87.22,4258.08,booked,
ord_000877,website,5460.00,0.02,109.20,5331.14,booked,
ord_000890,offline,1831.00,0.02,36.62,1787.79,booked,
ord_000896,website,4090.00,0.02,81.80,3993.48,booked,
ord_000900,offline,5116.00,0.02,102.32,4995.26,booked,
ord_000904,website,1843.00,0.02,36.86,1799.51,booked,
ord_000909,offline,1975.25,0.02,39.51,1928.63,booked,
ord_000911,website,1090.00,0.02,21.80,1064.28,booked,
ord_000914,website,2524.00,0.02,50.48,2464.43,booked,
ord_000917,offline,3796.00,0.02,75.92,3706.41,booked,
ord_000921,website,4609.00,0.02,92.18,4500.23,booked,
ord_000923,website,6353.00,0.02,127.06,6203.07,booked,
ord_000931,flipkart,3021.00,0.17,513.57,2381.76,booked,
ord_000936,flipkart,963.00,0.22,211.86,702.42,booked,
ord_000939,flipkart,1479.00,0.15,221.85,1200.95,booked,
ord_000943,website,6142.00,0.02,122.84,5997.05,booked,
ord_000945,amazon,4068.00,0.22,894.96,2967.20,booked,
ord_000947,flipkart,2545.00,0.15,381.75,2066.53,booked,
ord_000952,flipkart,2958.00,0.15,443.70,2401.89,booked,
ord_000953,amazon,2292.00,0.20,458.40,1725.88,booked,
ord_000954,flipkart,1684.00,0.22,370.48,1228.31,booked,
ord_000959,amazon,4497.00,0.20,899.40,3386.24,booked,
ord_000960,offline,3519.00,0.02,70.38,3435.95,booked,
ord_000961,amazon,2066.00,0.20,413.20,1555.69,booked,
ord_000966,offline,4068.00,0.02,81.36,3972.00,booked,
ord_000967,flipkart,1076.00,0.19,204.44,822.92,booked,
ord_000969,amazon,1545.00,0.20,309.00,1163.38,booked,
ord_000971,offline,5037.00,0.02,100.74,4918.13,booked,
ord_000978,flipkart,4104.00,0.19,779.76,3138.74,booked,
ord_000980,website,2335.00,0.02,46.70,2279.89,booked,
ord_000987,flipkart,3732.00,0.19,709.08,2854.24,booked,
ord_000995,website,6234.00,0.02,124.68,6086.88,booked,
ord_001000,website,5013.25,0.02,100.27,4894.93,booked,
ord_001009,flipkart,4217.00,0.15,632.55,3424.20,booked,
ord_001013,flipkart,3574.00,0.19,679.06,2733.40,booked,
ord_001015,website,2308.00,0.02,46.16,2253.53,booked,
ord_001023,flipkart,1968.50,0.19,374.02,1505.50,booked,
ord_001028,flipkart,2076.00,0.15,311.40,1685.71,booked,
ord_001033,flipkart,4088.00,0.19,776.72,3126.50,booked,
ord_001035,flipkart,1196.00,0.19,227.24,914.70,booked,
ord_001040,amazon,2955.50,0.24,709.32,2085.98,booked,
ord_001044,website,1315.00,0.02,26.30,1283.97,booked,
ord_001046,amazon,3640.00,0.24,873.60,2569.11,booked,
